37 37
27
3 3   25 26
4 3   31 6 
3 5   26 8 
6 3   28 20
7 3   27 3 
3 8   29 23
3 9   22 19
3 11  28 26
3 12  28 8 
3 13  22 14
3 14  34 23
3 17  22 10
3 18  22 9 
21 3   8 0 
4 3   33 28
4 4   28 4 
5 4   20 23
4 6   21 28
4 10  33 23
4 22  18 8 
4 24  21 13
3 5   22 27
4 5   22 8 
5 6   32 5 
5 10  0 8 
5 14  28 13
12 37  13 0 
