39 39
29
3 3   5 20
3 4   18 17
3 5   2 11
6 3   33 0 
3 7   0 17
3 8   5 12
3 9   26 5 
10 3   9 21
11 3   2 0 
15 3   4 3 
4 3   20 2 
4 4   35 20
4 5   8 19
6 4   21 20
8 4   31 16
9 4   21 20
12 4   21 16
4 15  13 6 
4 16  21 5 
3 5   21 12
5 4   31 8 
5 5   1 6 
6 5   29 5 
5 8   34 4 
10 5   29 12
5 11  21 5 
5 13  8 6 
18 5   15 0 
39 15  0 24
